Company,Geography, Excel ID 
"RiseSun Real Estate Development Co.,Ltd",APAC,IQ35646617
"Longyan Urban Development Group Co., Ltd.",APAC,IQ263433020
China South City Holdings Limited,APAC,IQ60367754
"Zhuhai Zhumian Group Co., Ltd.",APAC,IQ622068
China First Heavy Industries,APAC,IQ5721070
"Changde Urban Construction and Investment Group Co.,Ltd.",APAC,IQ128872058
Ferrexpo plc,EMEA,IQ34903604
"MITSUI E&S Co., Ltd.",APAC,IQ874457
"Greenland Holding Group Co., Ltd.",APAC,IQ414448058
GrafTech International Ltd.,N. America,IQ35922
Nanjing Dajiangbei National Asset Investment Group Company Limited,APAC,IQ555989777
"Shandong Iron & Steel Group Co.,Ltd",APAC,IQ42751952
"Gansu Provincial Highway Aviation Tourism Investment Group Co.,Ltd",APAC,IQ140301202
"Suzhou New District Hi-Tech Industrial Co.,Ltd",APAC,IQ6489367
Red Star Macalline Group Corporation Ltd.,APAC,IQ34765135
"ZHEJIANG NARADA POWER SOURCE Co. , Ltd.",APAC,IQ47024031
"New hope Wuxin Industrial Group Co., Ltd",APAC,IQ344979108
"Tianshan Material Co., Ltd.",APAC,IQ5722115
"Jujiang Construction Group Co., Ltd.",APAC,IQ320596568
Chongqing Construction Engineering Group Corporation Limited,APAC,IQ28718893
"Shanxi Antai Group Co.,Ltd",APAC,IQ12700484
Asia Cement (China) Holdings Corporation,APAC,IQ44268599
Longfor Group Holdings Limited,APAC,IQ53973645
Daqo New Energy Corp.,APAC,IQ84196527
Nan Fung International Holdings Limited,APAC,IQ142008859
"Hangzhou Xiaoshan Transportation Investment Group Co., Ltd.",APAC,IQ561814115
"Xinyuan (China) Realestate,Ltd.",APAC,IQ537858487
"Kulicke and Soffa Industries, Inc.",APAC,IQ283588
"Shaanxi Xixian New Area Airport New City Development & Construction Group Co.,Ltd.",APAC,IQ364697515
"Xinjiang Daqo New Energy Co.,Ltd.",APAC,IQ133684890
Jihua Group Corporation Limited,APAC,IQ104546079
Tokyo Metropolitan Housing Supply Corporation,APAC,IQ32364139
Longyan Transportation Development Group Corporation Limited,APAC,IQ261452129
Singamas Container Holdings Limited,APAC,IQ881613
